Origen,Destino,Distancia carretera (km),Distancia 3D (km),Diferencia (km),Tiempo estimado (min)
Acala,Tuxtla Chico,434.809,435.627,0.818,337.4
Acala,Tuxtla Gutiérrez,54.156,54.261,0.105,59.8
Acala,Tuzantán,384.587,385.327,0.74,299.2
Acala,Tzimol,115.282,115.54,0.257,124.9
Acala,Unión Juárez,311.908,317.809,5.901,363.6
Acala,Venustiano Carranza,44.818,44.931,0.113,52.2
Acala,Villa Comaltitlán,369.769,370.474,0.704,290.0
Acala,Villa Corzo,132.141,132.66,0.519,150.5
Acala,Villaflores,102.767,103.017,0.25,106.4
Acala,Yajalón,207.188,208.919,1.731,217.0
Acala,Zinacantán,46.133,46.944,0.81,66.7
Acala,Ángel Albino Corzo,176.076,176.554,0.478,201.5
Acapetahua,Acacoyagua,35.245,35.435,0.189,61.2
Acapetahua,Acala,362.725,363.401,0.676,298.6
Acapetahua,Aldama,404.2,405.846,1.646,348.4
Acapetahua,Altamirano,344.847,348.709,3.862,418.8
Acapetahua,Amatenango de la Frontera,140.275,143.788,3.513,145.0
Acapetahua,Amatenango del Valle,295.647,298.781,3.133,287.2
Acapetahua,Amatán,496.139,499.335,3.196,439.7
Acapetahua,Arriaga,187.575,187.699,0.124,152.0
Acapetahua,Bejucal de Ocampo,138.696,142.23,3.533,164.1
Acapetahua,Bella Vista,173.399,176.925,3.526,175.9
Acapetahua,Benemérito de las Américas,450.669,586.889,136.22,443.4
Acapetahua,Berriozábal,309.01,309.653,0.643,256.4
Acapetahua,Bochil,390.941,392.174,1.233,316.4
Acapetahua,Cacahoatán,118.663,119.148,0.485,122.8
Acapetahua,Capitán Luis Ángel Vidal,204.454,215.391,10.937,259.7
Acapetahua,Catazajá,622.059,616.472,-5.587,500.7
Acapetahua,Chalchihuitán,427.861,429.856,1.995,362.5
Acapetahua,Chamula,386.022,387.272,1.249,315.9
Acapetahua,Chanal,325.952,329.326,3.374,357.5
Acapetahua,Chapultenango,441.585,444.089,2.504,393.3
Acapetahua,Chenalhó,421.965,423.68,1.715,350.5
Acapetahua,Chiapa de Corzo,336.132,336.749,0.617,270.3
Acapetahua,Chiapilla,377.8,378.63,0.83,314.6
Acapetahua,Chicoasén,354.248,355.52,1.271,296.1
Acapetahua,Chicomuselo,209.56,212.902,3.342,225.9
Acapetahua,Chilón,505.002,507.016,2.014,420.5
Acapetahua,Cintalapa de Figueroa,251.918,252.344,0.426,207.6
Acapetahua,Coapilla,380.387,381.942,1.555,329.1
Acapetahua,Comitán de Domínguez,251.333,254.391,3.058,246.2
Acapetahua,Copainalá,361.516,362.713,1.197,300.9
Acapetahua,El Bosque,412.767,414.418,1.652,344.5
Acapetahua,El Parral,360.318,360.974,0.657,303.5
Acapetahua,El Porvenir,120.946,124.526,3.581,130.7
Acapetahua,Emiliano Zapata,354.682,355.345,0.663,294.6
Acapetahua,Escuintla,33.082,33.196,0.114,47.6
Acapetahua,Francisco León,421.429,423.4,1.971,363.1
Acapetahua,Frontera Comalapa,178.557,181.428,2.872,185.2
Acapetahua,Frontera Hidalgo,118.943,119.103,0.16,117.5
Acapetahua,Honduras de la Sierra,161.969,169.605,7.636,197.8
Acapetahua,Huehuetán,67.065,67.154,0.089,72.1
Acapetahua,Huitiupán,455.697,457.917,2.22,390.4
Acapetahua,Huixtla,49.816,49.877,0.061,56.9
Acapetahua,Huixtán,400.262,401.494,1.232,320.3
Acapetahua,Ixhuatán,474.85,477.295,2.445,399.6
Acapetahua,Ixtacomitán,486.396,488.225,1.829,415.0
Acapetahua,Ixtapa,358.01,358.921,0.911,286.7
Acapetahua,Ixtapangajoya,516.952,519.035,2.083,467.2
Acapetahua,Jiquipilas,256.847,257.294,0.447,214.4
Acapetahua,Jitotol,416.548,418.239,1.691,344.1
Acapetahua,Juárez,470.471,471.644,1.173,393.5
Acapetahua,La Concordia,249.358,252.459,3.101,281.0
Acapetahua,La Grandeza,142.05,146.494,4.444,154.4
Acapetahua,La Independencia,261.193,264.245,3.052,257.1
Acapetahua,La Libertad,656.368,650.806,-5.562,524.2
Acapetahua,La Trinitaria,233.161,236.203,3.042,228.7
Acapetahua,Larráinzar,402.44,403.92,1.48,356.8
Acapetahua,Las Margaritas,268.456,271.535,3.079,265.4
Acapetahua,Las Rosas,288.529,291.664,3.135,285.5
Acapetahua,Mapastepec,49.964,50.003,0.04,59.7
Acapetahua,Maravilla Tenejapa,336.129,341.499,5.37,357.6
Acapetahua,Marqués de Comillas,437.479,573.725,136.245,443.6
Acapetahua,Mazapa de Madero,120.483,123.121,2.638,135.0
Acapetahua,Mazatán,89.489,89.593,0.104,94.2
Acapetahua,Metapa,107.834,107.989,0.155,100.3
Acapetahua,Mezcalapa,364.168,365.177,1.009,292.1
Acapetahua,Mitontic,407.901,409.908,2.007,342.9
Acapetahua,Montecristo de Guerrero,209.801,217.864,8.063,236.7
Acapetahua,Motozintla,79.212,79.968,0.757,82.6
Acapetahua,Nicolás Ruíz,310.749,313.847,3.098,326.4
Acapetahua,Ocosingo,588.303,724.752,136.449,604.2
Acapetahua,Ocotepec,404.168,406.0,1.831,364.8
Acapetahua,Ocozocoautla de Espinosa,277.304,277.83,0.526,226.9
Acapetahua,Ostuacán,415.902,417.174,1.272,333.3
Acapetahua,Osumacinta,335.072,335.962,0.89,272.5
Acapetahua,Oxchuc,426.364,427.805,1.441,347.1
Acapetahua,Palenque,599.851,602.707,2.856,516.2
Acapetahua,Pantelhó,444.185,446.559,2.374,392.0
Acapetahua,Pantepec,411.683,413.972,2.289,376.7
Acapetahua,Pichucalco,474.284,476.073,1.79,402.4
Acapetahua,Pijijiapan,82.39,82.459,0.069,80.0
Acapetahua,Pueblo Nuevo Solistahuacán,431.052,432.849,1.797,353.6
Acapetahua,Rayón,450.721,452.877,2.156,371.1
Acapetahua,Reforma,466.189,467.356,1.167,385.9
Acapetahua,Rincón Chamula San Pedro,439.532,441.392,1.86,362.9
Acapetahua,Sabanilla,486.991,490.015,3.025,438.1
Acapetahua,Salto de Agua,572.725,575.424,2.699,492.7
Acapetahua,San Andrés Duraznal,445.111,447.159,2.048,380.7
Acapetahua,San Cristóbal de las Casas,371.37,372.416,1.045,294.4
Acapetahua,San Fernando,319.816,320.471,0.655,262.7
Acapetahua,San Juan Cancuc,430.277,432.157,1.88,373.7
Acapetahua,San Lucas,388.522,389.812,1.291,332.2
Acapetahua,Santiago el Pinar,407.632,409.326,1.695,356.8
Acapetahua,Siltepec,144.846,149.717,4.871,158.9
Acapetahua,Simojovel,461.004,463.252,2.248,409.0
Acapetahua,Sitalá,464.457,467.036,2.579,417.9
Acapetahua,Socoltenango,275.57,278.567,2.996,295.8
Acapetahua,Solosuchiapa,497.056,500.293,3.237,424.4
Acapetahua,Soyaló,356.741,358.248,1.507,304.7
Acapetahua,Suchiapa,325.748,326.417,0.669,271.0
Acapetahua,Suchiate,126.085,126.224,0.139,121.1
Acapetahua,Sunuapa,457.775,459.317,1.542,382.9
Acapetahua,Tapachula,82.322,82.443,0.121,85.0
Acapetahua,Tapalapa,407.05,409.378,2.328,374.2
Acapetahua,Tapilula,465.218,467.535,2.317,385.2
Acapetahua,Tecpatán,382.383,383.654,1.271,308.4
Acapetahua,Tenejapa,408.185,409.685,1.5,337.9
Acapetahua,Teopisca,314.64,317.814,3.173,312.0
Acapetahua,Tila,562.559,565.513,2.954,498.3
Acapetahua,Tonalá,175.789,175.906,0.118,157.3
Acapetahua,Totolapa,385.736,386.593,0.857,325.7
Acapetahua,Tumbalá,543.723,546.277,2.554,473.9
Acapetahua,Tuxtla Chico,102.397,102.547,0.15,96.7
Acapetahua,Tuxtla Gutiérrez,311.411,311.992,0.581,243.3
Acapetahua,Tuzantán,52.175,52.247,0.072,58.5
Acapetahua,Tzimol,255.965,259.043,3.078,251.6
Acapetahua,Unión Juárez,131.468,131.937,0.469,132.1
Acapetahua,Venustiano Carranza,297.216,300.208,2.992,321.7
Acapetahua,Villa Comaltitlán,25.343,25.349,0.006,44.6
Acapetahua,Villa Corzo,320.072,321.243,1.171,291.2
Acapetahua,Villaflores,284.722,285.623,0.901,241.6
Acapetahua,Yajalón,519.716,521.837,2.121,442.6
Acapetahua,Zinacantán,358.661,359.861,1.2,292.4
Acapetahua,Ángel Albino Corzo,245.574,253.893,8.319,278.2
Aldama,Acacoyagua,391.437,393.246,1.809,337.3
Aldama,Acala,91.112,92.362,1.25,122.2
Aldama,Acapetahua,400.916,402.571,1.655,341.8
Aldama,Altamirano,156.131,157.492,1.361,209.3
Aldama,Amatenango de la Frontera,242.21,243.573,1.363,256.4
Aldama,Amatenango del Valle,76.871,77.618,0.747,97.2
Aldama,Amatán,145.126,147.692,2.566,194.6
Aldama,Arriaga,219.67,221.176,1.506,198.3
Aldama,Bejucal de Ocampo,250.63,252.547,1.917,271.5
Aldama,Bella Vista,243.393,245.129,1.736,257.7
Aldama,Benemérito de las Américas,376.189,378.905,2.716,372.9
Aldama,Berriozábal,129.161,130.385,1.224,149.0
Aldama,Bochil,44.889,45.514,0.625,75.8
Aldama,Cacahoatán,344.133,351.284,7.15,387.5
Aldama,Capitán Luis Ángel Vidal,304.001,308.149,4.148,354.0
Aldama,Catazajá,302.942,305.362,2.42,309.1
Aldama,Chalchihuitán,60.222,61.261,1.039,82.5
Aldama,Chamula,19.508,19.877,0.369,35.2
Aldama,Chanal,92.766,93.639,0.873,138.8
Aldama,Chapultenango,175.988,178.937,2.949,208.4
Aldama,Chenalhó,54.326,55.085,0.759,70.5
Aldama,Chiapa de Corzo,102.78,103.868,1.088,121.0
Aldama,Chiapilla,70.375,71.331,0.956,113.6
Aldama,Chicoasén,102.426,104.228,1.801,162.8
Aldama,Chicomuselo,279.554,281.107,1.552,307.7
Aldama,Chilón,130.098,132.13,2.033,172.8
Aldama,Cintalapa de Figueroa,167.45,168.65,1.2,165.0
Aldama,Coapilla,142.873,145.276,2.403,190.7
Aldama,Comitán de Domínguez,122.505,123.333,0.828,141.4
Aldama,Copainalá,109.694,111.421,1.727,167.6
Aldama,El Bosque,61.753,62.775,1.022,99.5
Aldama,El Parral,137.375,138.503,1.128,158.2
Aldama,El Porvenir,274.719,277.561,2.842,304.0
Aldama,Emiliano Zapata,121.329,122.464,1.135,145.3
Aldama,Escuintla,406.091,407.84,1.749,337.7
Aldama,Francisco León,172.117,174.789,2.672,250.2
Aldama,Frontera Comalapa,233.311,234.373,1.062,253.2
Aldama,Frontera Hidalgo,396.017,399.934,3.917,398.3
Aldama,Honduras de la Sierra,289.33,292.058,2.728,333.4
Aldama,Huehuetán,344.14,347.985,3.845,352.9
Aldama,Huitiupán,104.683,106.274,1.59,145.4
Aldama,Huixtla,331.636,335.465,3.829,342.0
Aldama,Huixtán,66.131,66.916,0.784,87.4
Aldama,Ixhuatán,123.837,125.652,1.815,154.6
Aldama,Ixtacomitán,156.454,159.071,2.617,179.6
Aldama,Ixtapa,49.356,49.924,0.569,84.3
Aldama,Ixtapangajoya,184.944,187.829,2.886,232.6
Aldama,Jiquipilas,166.464,167.669,1.205,171.9
Aldama,Jitotol,65.535,66.596,1.061,99.1
Aldama,Juárez,202.9,205.678,2.778,235.7
Aldama,La Concordia,216.132,217.425,1.293,242.2
Aldama,La Grandeza,259.177,261.435,2.258,284.1
Aldama,La Independencia,151.343,152.204,0.86,174.1
Aldama,La Libertad,288.838,291.255,2.417,305.9
Aldama,La Trinitaria,139.944,140.777,0.833,157.2
Aldama,Larráinzar,20.559,20.965,0.406,45.8
Aldama,Las Margaritas,141.792,142.649,0.857,162.4
Aldama,Las Rosas,92.965,93.801,0.836,115.9
Aldama,Mapastepec,362.501,364.127,1.626,304.7
Aldama,Maravilla Tenejapa,267.29,269.75,2.46,284.3
Aldama,Marqués de Comillas,362.775,365.516,2.741,373.0
Aldama,Mazapa de Madero,268.969,271.489,2.52,290.8
Aldama,Mazatán,366.564,370.425,3.861,375.0
Aldama,Metapa,384.908,388.82,3.912,381.1
Aldama,Mezcalapa,194.662,196.27,1.607,190.7
Aldama,Mitontic,41.05,42.044,0.994,64.6
Aldama,Montecristo de Guerrero,268.196,270.065,1.869,304.8
Aldama,Motozintla,292.858,295.975,3.117,301.2
Aldama,Nicolás Ruíz,104.059,105.21,1.151,127.2
Aldama,Ocosingo,277.226,279.628,2.402,382.8
Aldama,Ocotepec,146.444,149.029,2.585,195.8
